mouseEntryTime,mouseName,mouseRFID,tunnelID,taskType,phaseID,pGo,Stim. freq (Hz),Stim. amp,ITI,stimulusType,stimulusSide,stimulusTime,stimDuration(sec),timeout(sec),trialType,responseWindow(sec),mouseResponse,responseTimes,isLickBeforeStimulus,autoReward,punishment,preLicks,rand_delay_after_cue,ITI_blocks,cueStartTime,is_water,start_delay_min,start_delay_max,out_resp_prelick
2023-06-05 10:02:29.395209,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,Reward,3,Lick,"[1685948551.896373, 1685948552.2476628, 1685948552.4485366, 1685948553.3509457, 1685948553.55195, 1685948553.953548, 1685948554.054453]",False,,,[],0.75,15,1685948550.7455413,1,0.75,0.75,0.0
2023-06-05 10:05:41.169558,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,Reward,3,Lick,"[1685948743.9248183, 1685948744.3780005, 1685948744.4788003, 1685948744.5795302, 1685948745.181453, 1685948745.2821498, 1685948745.5832207, 1685948745.6838906, 1685948745.7845, 1685948746.085537, 1685948746.1861496]",True,,,"[1685948742.527932, 1685948742.5803273, 1685948742.6307065, 1685948742.9727166, 1685948743.023197, 1685948743.222677, 1685948743.2732394]",0.75,15,1685948742.527755,1,0.75,0.75,0.0
2023-06-05 10:05:51.924493,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,Reward,3,Lick,"[1685948754.2303002, 1685948754.9826374, 1685948755.0833857, 1685948755.1841083, 1685948755.585368, 1685948755.686049, 1685948755.9871366, 1685948756.088421, 1685948756.189248, 1685948756.390257, 1685948756.4912057, 1685948756.5919557, 1685948756.893384, 1685948756.9948323]",True,,,"[1685948753.7817454, 1685948753.9279232]",0.75,15,1685948753.2798376,1,0.75,0.75,0.0
2023-06-05 10:06:15.830346,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,Reward,3,Lick,"[1685948779.1902094, 1685948780.0428889, 1685948780.1444805, 1685948780.2451825, 1685948780.3459013, 1685948780.4466143, 1685948780.5473127, 1685948780.7482135]",True,,,"[1685948777.2885685, 1685948777.478446, 1685948777.5290892, 1685948777.693089, 1685948777.8360937, 1685948777.8866453, 1685948777.9370835]",0.75,15,1685948777.211095,1,0.75,0.75,0.0
2023-06-05 10:06:25.309234,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,Reward,3,Lick,"[1685948787.563829, 1685948788.2158713, 1685948788.3213358, 1685948788.4219708, 1685948788.6228034, 1685948788.7234616, 1685948788.8241198, 1685948788.92479, 1685948789.025395, 1685948789.2261918, 1685948789.3268209, 1685948789.4274828, 1685948789.6287947, 1685948789.729824, 1685948789.8305755, 1685948790.031719, 1685948790.132659, 1685948790.4339354]",True,,,"[1685948786.6649969, 1685948786.7159371, 1685948786.7667127, 1685948786.8175108, 1685948786.8679123, 1685948787.0042236, 1685948787.0546098, 1685948787.1309364, 1685948787.18148, 1685948787.2841883, 1685948787.4127476]",0.75,15,1685948786.6648266,1,0.75,0.75,0.0
2023-06-05 10:06:34.777885,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,Reward,3,Lick,"[1685948797.0845904, 1685948797.536217, 1685948797.6371214, 1685948797.7379684, 1685948797.8386958, 1685948797.9394553, 1685948798.0401924, 1685948798.1409838, 1685948798.241642, 1685948798.3423376, 1685948798.4430132, 1685948798.543766, 1685948798.6444914, 1685948798.7452168, 1685948798.845896, 1685948798.9466481, 1685948799.0474565, 1685948799.2485785, 1685948799.3493483, 1685948799.4501414, 1685948799.7514374, 1685948799.8521457]",True,,,"[1685948796.1342525, 1685948796.1847613, 1685948796.235265, 1685948796.2858536, 1685948796.3363621, 1685948796.4585068, 1685948796.5435588, 1685948796.658764, 1685948796.7093308]",0.75,15,1685948796.134108,1,0.75,0.75,0.0
2023-06-05 10:06:44.212613,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,Reward,3,Lick,"[1685948806.5618646, 1685948807.3147192, 1685948807.415317, 1685948807.5159903, 1685948807.616839, 1685948807.7176306, 1685948807.8184032, 1685948807.9193034, 1685948808.0201147, 1685948808.1210217, 1685948808.2216725, 1685948808.3223097, 1685948808.4229639, 1685948808.5236447, 1685948808.6243274, 1685948808.7251096, 1685948808.8258862, 1685948808.9266973, 1685948809.0274935, 1685948809.128306, 1685948809.3293629]",True,,,"[1685948805.568252, 1685948805.618881, 1685948805.7084463, 1685948805.8366947, 1685948805.9131393, 1685948806.007003, 1685948806.0575924, 1685948806.1081207, 1685948806.1587071, 1685948806.2093015, 1685948806.2598698, 1685948806.3104353]",0.75,15,1685948805.568084,1,0.75,0.75,0.0
2023-06-05 10:06:53.688506,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,Reward,3,Lick,"[1685948815.8951507, 1685948816.3468559, 1685948816.4513235, 1685948816.752435, 1685948816.85313, 1685948816.9538226, 1685948817.0545213, 1685948817.155183, 1685948817.3560655, 1685948817.456773, 1685948817.6577246, 1685948817.758449, 1685948817.8591738, 1685948817.9598882, 1685948818.160999, 1685948818.2616546, 1685948818.3623052, 1685948818.563305, 1685948818.6640506]",True,,,"[1685948815.1544182, 1685948815.257574, 1685948815.308174, 1685948815.3675754, 1685948815.4181168, 1685948815.6005828, 1685948815.6510613]",0.75,15,1685948815.0447536,1,0.75,0.75,0.0
2023-06-05 10:07:03.131658,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,Reward,3,NoLick,[],True,,,"[1685948824.5643654, 1685948824.7065072, 1685948824.8729894, 1685948824.9707975, 1685948825.0596383, 1685948825.1403184, 1685948825.195743, 1685948825.2462049]",0.75,15,1685948824.495265,0,0.75,0.75,0.0
2023-06-05 10:07:09.499463,R14,210805011934,pinkPort,Reward,Reward,,,,4.0,,,,,,Reward,3,NoLick,[],True,,,"[1685948830.8746593, 1685948830.9251182, 1685948830.9754963, 1685948831.1076953, 1685948831.1592917, 1685948831.209644, 1685948831.3322651, 1685948831.5382638, 1685948831.5888226, 1685948831.639446]",0.75,15,1685948830.8744898,0,0.75,0.75,0.0
