 ,Mean1,Mean2,Mean3,Mean4
386,43.842,30.659,17.195,17.328
387,46.919,32.065,12.746,15.038
388,47.612,25.532,12.307,13.453
389,43.329,27.727,15.678,15.839
390,46.037,30.918,14.161,18.536
391,42.126,27.330,13.024,16.577
392,46.102,28.823,13.702,22.604
393,48.539,28.639,12.537,13.948
394,53.833,38.249,17.498,23.118
395,50.757,27.584,19.166,21.892
396,55.285,31.940,17.078,17.315
397,51.953,31.583,14.468,17.489
398,58.271,43.968,13.298,26.129
399,63.722,37.290,15.044,19.229
400,62.340,33.610,17.137,27.901
401,65.104,40.990,19.254,24.697
402,64.748,34.215,22.863,26.588
403,70.555,29.666,11.659,23.285
404,73.512,38.848,18.790,24.267
405,73.440,24.625,17.761,25.115
406,74.786,39.884,20.883,23.100
407,78.955,35.525,19.249,26.206
408,74.607,39.257,22.102,21.808
409,69.007,49.417,20.229,28.548
410,69.884,39.952,20.980,28.165
411,78.751,35.532,24.424,25.511
412,76.685,33.424,20.810,27.179
413,74.242,44.097,12.215,19.864
414,72.545,45.753,24.829,23.063
415,67.385,44.416,11.502,20.563
416,63.786,41.680,29.195,26.195
417,68.755,38.954,26.473,17.328
418,65.736,38.952,25.537,22.882
419,62.870,41.412,19.741,17.582
420,67.669,39.371,17.483,24.731
421,66.356,41.877,22.600,15.986
422,60.321,36.087,29.049,27.197
423,61.975,45.303,22.024,23.353
424,61.216,35.104,20.200,20.970
425,58.020,41.245,21.312,14.308
426,63.130,39.494,15.868,18.620
427,59.610,31.046,14.946,20.792
428,63.981,33.906,15.902,15.138
429,56.428,38.768,18.502,21.554
430,56.806,42.842,13.498,14.957
431,57.984,28.806,16.273,17.127
432,63.001,35.448,19.137,18.170
433,56.715,28.761,20.839,16.120
434,50.667,33.651,23.473,17.455
435,56.038,30.751,15.239,20.387
436,51.253,36.968,24.468,19.599
437,53.275,44.421,18.293,19.803
438,50.355,34.935,18.976,19.333
439,48.230,27.637,14.824,16.763
440,53.850,31.911,17.010,13.192
441,53.973,41.584,19.956,21.403
442,53.877,39.801,10.610,14.901
443,54.836,33.773,21.351,17.371
444,49.837,34.111,13.980,20.824
445,37.752,35.615,16.873,19.615
446,43.439,40.717,16.854,20.495
447,44.481,44.675,13.312,18.036
448,47.291,40.869,17.127,15.228
449,46.131,46.387,19.424,17.375
450,46.410,43.325,20.678,20.600
451,44.547,46.579,13.615,16.317
452,46.223,44.896,16.049,20.919
453,40.186,44.284,14.439,21.176
454,45.841,32.625,16.302,14.357
455,37.697,41.649,24.468,16.005
456,41.230,39.511,16.746,20.357
457,41.643,44.819,17.341,20.625
458,41.060,44.177,11.956,14.892
459,39.693,41.109,14.093,19.504
460,35.161,44.436,19.971,18.754
461,37.222,38.664,13.585,15.701
462,34.144,44.501,12.459,13.151
463,37.230,43.922,14.883,18.382
464,33.555,32.700,19.737,18.941
465,35.214,37.966,15.522,16.491
466,34.777,37.443,16.776,14.448
467,34.827,38.680,19.717,11.860
468,37.040,32.315,13.473,15.867
469,32.787,33.065,14.932,17.841
470,33.442,38.375,17.054,14.959
471,38.847,36.363,19.702,19.586
472,35.679,36.957,20.005,18.246
473,37.254,41.342,17.302,20.201
474,37.735,45.503,14.361,20.376
475,40.157,39.530,16.117,24.919
476,41.935,37.348,16.902,16.590
477,43.481,33.394,17.546,19.471
478,43.694,37.891,14.546,19.079
479,47.007,35.792,26.883,19.344
480,49.150,45.284,15.044,18.332
481,47.082,43.250,20.683,17.439
482,49.432,36.116,17.278,18.579
483,47.321,42.526,19.249,19.384
484,49.771,38.095,19.151,17.776
485,47.383,49.475,19.546,30.428
486,49.791,50.317,28.454,18.339
487,54.058,42.390,18.229,24.224
488,43.583,40.133,26.229,26.253
489,48.167,44.446,20.712,20.430
490,48.714,30.928,15.654,20.237
491,54.143,41.007,18.361,19.685
492,48.396,41.438,25.873,29.188
493,39.981,42.475,17.976,19.959
494,41.589,41.279,21.663,25.321
495,46.342,42.681,22.317,21.810
496,46.543,37.303,19.873,27.663
497,47.779,42.830,20.761,20.901
498,48.460,35.685,15.107,20.256
499,46.604,35.843,24.556,20.968
500,40.950,38.007,17.298,24.349
501,44.494,35.346,16.507,21.217
502,0.152,0.337,0.000,0.527
503,0.396,0.259,0.000,1.258
504,0.688,0.126,0.327,0.409
505,0.387,0.147,0.000,0.088
506,0.488,0.153,0.000,0.262
507,0.558,0.576,0.654,0.593
508,0.603,0.080,1.068,0.582
509,0.266,0.172,2.298,0.478
510,0.142,0.363,0.088,0.179
511,0.338,0.722,0.717,0.047
512,0.396,0.152,0.000,0.204
513,0.323,0.755,0.000,0.394
514,0.322,0.242,0.000,0.769
515,0.292,0.000,1.380,0.382
516,0.453,0.005,0.141,0.418
517,0.559,0.349,0.000,0.294
518,0.463,0.537,0.049,0.197
519,0.586,1.780,0.424,0.145
520,0.425,1.474,0.195,0.459
521,0.335,0.543,0.180,0.674
522,0.601,0.458,0.000,0.507
523,0.507,0.702,0.459,0.478
524,0.330,0.465,0.000,0.627
525,0.384,0.905,0.029,0.059
526,0.269,0.641,0.859,0.324
527,0.596,0.663,0.000,1.102
528,0.175,0.995,0.200,0.443
529,0.664,1.014,0.000,0.113
530,0.562,1.055,0.000,0.269
531,0.306,0.450,0.000,0.075
532,0.433,0.707,0.000,0.081
533,0.578,0.014,0.000,1.084
534,0.540,0.625,0.537,0.240
535,0.292,0.814,0.000,1.342
536,0.307,0.765,0.776,0.108
537,0.337,0.000,0.000,0.000
538,0.260,2.097,0.088,0.489
539,0.226,0.378,0.161,0.229
540,0.897,0.394,0.541,1.215
541,0.532,0.223,0.366,0.495
542,0.310,0.089,0.000,0.681
543,0.275,0.116,1.683,0.335
544,0.500,0.630,0.000,0.656
545,0.254,0.201,0.571,0.538
546,0.550,0.826,0.000,0.290
547,0.233,0.555,0.478,0.557
548,0.301,0.041,1.498,1.217
549,0.382,0.310,0.000,0.168
550,0.412,0.707,0.722,1.631
551,0.276,0.256,0.000,0.172
552,0.330,0.124,0.210,0.281
553,0.230,0.273,0.507,0.254
554,0.428,1.385,1.620,0.568
555,0.591,0.250,0.561,0.523
556,0.432,1.145,0.341,0.482
557,0.533,1.193,0.415,0.550
558,0.503,1.341,2.624,0.394
559,0.442,0.279,0.351,1.002
560,0.406,0.000,0.000,0.464
561,0.631,0.000,0.849,0.376
562,0.430,0.405,0.220,0.561
563,0.515,0.065,0.644,0.004
564,0.338,0.472,1.132,0.082
565,0.538,1.659,0.000,0.959
566,0.682,0.569,0.000,0.608
567,0.696,0.421,0.976,0.346
568,0.368,0.094,0.000,0.156
569,0.345,0.576,0.702,0.670
570,0.516,0.491,1.112,0.312
571,0.391,0.835,0.761,1.357
